"name","title","male","house","isMarried","isNoble","age","popularity","isAlive","gender"
"Steffon Fossoway","Ser",1,"Fossoway of Cider Hall",0,1,NA,0.040133779,1,"men"
"Steffon Hollard","Ser",0,"Hollard",0,1,NA,0.026755853,1,"women"
"Steffon Varner","Lord",1,"Varner",0,1,NA,0.013377926,1,"men"
"Theo Frey","Ser",1,"Frey",0,1,NA,0.013377926,1,"men"
"Tom Costayne","Ser",0,"Costayne",0,1,NA,0.006688963,1,"women"
"Tommard Heddle","Ser",1,"Heddle",0,1,NA,0.046822742,0,"men"
"Tristimun","Ser",1,"Sea watch",0,1,NA,0,1,"men"
"Utt","Septon",1,"Brave Companions",0,0,NA,0.023411371,0,"men"
"Victor Tyrell","Ser",0,"Tyrell",0,1,NA,0.123745819,1,"women"
"Wendell Webber","Ser",1,"Webber",0,1,NA,0.013377926,1,"men"
"Jhogo","Bloodrider",0,"Targaryen",0,0,24,0.200668896,1,"women"
"Tanda Stokeworth","Stokeworth",0,"Stokeworth",0,1,NA,0.113712375,0,"women"
"Abelar Hightower","Ser",1,"Hightower",0,1,NA,0,1,"men"
"Addam Frey","Ser",1,"Frey",0,1,NA,0.026755853,1,"men"
"Aegon Targaryen (son of Baelon)","Prince",1,"Targaryen",0,1,NA,0,1,"men"
"Aegon Targaryen (son of Jaehaerys I)","Prince",0,"Targaryen",0,1,100,0,0,"women"
"Aegon Targaryen (son of Aenys I)","Prince",1,"Targaryen",1,1,17,0,0,"men"
"Alicent Hightower","LadyQueenDowager Queen",0,"Hightower",1,1,45,0.267558528,0,"women"
"Alyn Hunt","Ser",1,"Hunt",0,1,NA,0.013377926,1,"men"
"Alyn Velaryon","Lord of the Tides",1,"Velaryon",1,1,56,0.160535117,0,"men"
"Andrey Dalt","Ser",0,"Dalt",0,1,NA,0.036789298,1,"women"
"Andrey Charlton","Ser",1,"Charlton",0,1,NA,0.013377926,0,"men"
"Argrave the Defiant","Ser",1,"Butterwell",0,1,NA,0.013377926,1,"men"
"Arnell","Ser",1,"Night's Watch",0,1,NA,0.006688963,1,"men"
"Arron Qorgyle","Ser",1,"Qorgyle",0,1,NA,0.023411371,1,"men"
"Aubrey Ambrose","Ser",1,"Ambrose",0,1,NA,0.006688963,1,"men"
"Baelon Targaryen (son of Viserys I)","Prince",1,"Targaryen",0,1,0,0.100334448,0,"men"
"Baelon Targaryen (son of Aerys)","Lord of Dragonstone",0,"Targaryen",0,1,NA,0.043478261,1,"women"
"Baelor Targaryen (son of Daeron II)","Prince of Dragonstone",1,"Targaryen",1,1,39,0.474916388,0,"men"
"Belis","Wisdom",1,"Alchemists' Guild",0,1,NA,0.02006689,1,"men"
"Ben Bushy","Ser",0,"Bushy",0,1,NA,0.023411371,0,"women"
"Bennis","Ser",1,"Osgrey",0,1,NA,0.036789298,1,"men"
"Bertram Beesbury","Ser",1,"Beesbury",0,1,NA,0.003344482,1,"men"
"Brandon Stark (Bad)","King in the North",1,"Stark",0,1,NA,0.016722408,1,"men"
"Brandon Stark (the daughterless)","Winterfell",1,"Stark",0,1,NA,0.033444816,1,"men"
"Brandon Stark (son of Cregan)","Winterfell",1,"Stark",1,1,NA,0.143812709,1,"men"
"Brenett","Maester",1,"Frey",0,1,NA,0.003344482,1,"men"
"Buford Bulwer","Ser",1,"Bulwer",0,1,NA,0.016722408,1,"men"
"Byam Flint","Ser",1,"Night's Watch",0,1,NA,0.02006689,0,"men"
"Byron","Ser",0,"Baelish",0,1,NA,0.02006689,1,"women"
"Lord Cafferen","Lord",1,"Cafferen",0,1,NA,0.02006689,0,"men"
"Cadwyn","Ser",0,"Lannister",0,1,NA,0,1,"women"
"Cedric Payne","Ser",1,"Payne",0,1,NA,0.013377926,0,"men"
"Cerrick","Maester",1,"Webber",0,1,NA,0.006688963,1,"men"
"Catelyn Stark","Winterfell",0,"Tully",1,1,35,0,0,"women"
"Clarence Crabb","Ser",1,"Crabb",0,1,NA,0.026755853,1,"men"
"Clarence Charlton","Ser",0,"Charlton",0,1,NA,0.013377926,1,"women"
"Clarence Crabb (Short)","Ser",1,"Crabb",0,1,NA,0.006688963,1,"men"
"Cleyton Caswell","Ser",0,"Caswell",0,1,NA,0.003344482,1,"women"
"Clifford Conklyn","Ser",1,"Conklyn",0,1,NA,0.006688963,1,"men"
"Colen of Greenpools","Ser",1,"Baratheon",0,1,NA,0.016722408,1,"men"
"Cosgrove","Steward",0,"Butterwell",0,1,NA,0,1,"women"
"Courtenay Greenhill","Ser",0,"Greenhill",0,1,NA,0,1,"women"
"Daella Targaryen (daughter of Jaehaerys I)","Eyrie",0,"Targaryen",1,1,28,0.086956522,0,"women"
"Daella Targaryen (daughter of Maekar I)","Princess",1,"Targaryen",0,1,100,0.080267559,0,"men"
"Daenerys Targaryen (daughter of Aegon IV)","Princess",0,"Targaryen",1,1,100,0.093645485,0,"women"
"Daena Targaryen","Princess",0,"Targaryen",1,1,100,0.227424749,0,"women"
"Daeron Targaryen (son of Viserys I)","Ser",1,"Targaryen",0,1,16,0.227424749,0,"men"
"Daeron Targaryen (son of Maekar I)","Prince of Dragonstone",1,"Targaryen",1,1,31,0.130434783,0,"men"
"Damon Lannister (lord)","Casterly Rock",1,"Lannister",1,1,NA,0,0,"men"
"Darla Deddings","Lady",0,"Deddings",0,1,NA,0.010033445,1,"women"
"Dennis Plumm","Ser",1,"Plumm",0,1,NA,0.026755853,1,"men"
"Donella Hornwood","Hornwood",0,"Manderly",1,1,50,0.096989967,0,"women"
"Dunaver","Ser",0,"Lannister",0,1,NA,0.006688963,1,"women"
"Duncan Targaryen","Prince of Dragonstone",1,"Targaryen",1,1,39,0.140468227,0,"men"
"Edgerran Oakheart","Lord",1,"Oakheart",0,1,NA,0.006688963,1,"men"
"Eden Risley","Ser",1,"Risley",0,1,NA,0.003344482,1,"men"
"Edmund Ambrose","Ser",0,"Ambrose",0,1,NA,0.023411371,1,"women"
"Edwyn Osgrey","Ser",1,"Osgrey",0,1,NA,0.02006689,0,"men"
"Eglantine","Septa",0,"Faith of the Seven",0,0,NA,0.006688963,1,"women"
"Elaena Targaryen","Princess",0,"Targaryen",1,1,70,0.137123746,0,"women"
"Elys Westerling","Ser",0,"Westerling",0,1,NA,0.013377926,1,"women"
"Elys Waynwood","Ser",0,"Waynwood",1,1,NA,0.070234114,1,"women"
"Erik Ironmaker","Lord Steward of the Iron Islands",1,"Ironmaker",1,1,94,0.050167224,1,"men"
"Eustace (Braavos)","Septon",0,"Faith of the Seven",0,0,NA,0.010033445,1,"women"
"Eustace (Dance of the Dragons)","Septon",1,"Faith of the Seven",0,0,NA,0.036789298,1,"men"
"Ezzelyno","Red Priest",0,"R'hllor",0,1,NA,0.013377926,1,"women"
"Garigus","Wisdom",1,"Alchemists' Guild",0,1,NA,0.02006689,1,"men"
"Gascoyne","Ser",0,"Martell",0,1,NA,0.013377926,1,"women"
"Gerold Lannister","Casterly Rock",1,"Lannister",1,1,NA,0.086956522,0,"men"
"Gladden Wylde","Ser",1,"Wylde",0,1,NA,0.016722408,0,"men"
"Grance Morrigen","Ser",1,"Morrigen",0,1,NA,0.010033445,1,"men"
"Gulian Qorgyle","Ser",1,"Qorgyle",0,1,NA,0.013377926,1,"men"
"Gwayne Corbray","Ser",1,"Corbray",0,1,NA,0.043478261,1,"men"
"Gwayne Gaunt","Ser",0,"Gaunt",0,1,NA,0.036789298,1,"women"
"Gyles","Ser",0,"Kingsguard",0,1,NA,0.003344482,1,"women"
"Harbert Paege","Ser",0,"Paege",0,1,NA,0.013377926,1,"women"
"Halys Hornwood","Hornwood",1,"Hornwood",1,1,NA,0.107023411,0,"men"
"Harlan Grandison","Ser",1,"Grandison",0,1,NA,0.016722408,0,"men"
"Harrold Osgrey","Ser",1,"Osgrey",0,1,NA,0.023411371,1,"men"
"Harry Sawyer","Ser",0,"Sawyer",0,1,NA,0.016722408,1,"women"
"Harwyn Plumm","Ser",1,"Plumm",0,1,NA,0.046822742,1,"men"
"Herbert Bolling","Ser",0,"Bolling",0,1,NA,0.010033445,1,"women"
"Hugh Beesbury","Ser",0,"Beesbury",0,1,NA,0.013377926,1,"women"
"Humfrey Clifton","Ser",1,"Clifton",0,1,NA,0.013377926,1,"men"
"Jaehaerys Targaryen (son of Aegon II)","Prince",1,"Targaryen",0,1,6,0.18729097,0,"men"
"Jaehaera Targaryen","PrincessQueen",0,"Targaryen",1,1,10,0.280936455,0,"women"
"Jeffory Norcross","Ser",1,"Norcross",0,1,NA,0.006688963,1,"men"
"Jeyne Westerling (wife of Maegor I)","QueenBlack Bride",0,"Westerling",1,1,20,0.110367893,0,"women"
"Jeyne Westerling","Winterfell",0,"Westerling",1,1,22,0.424749164,1,"women"
"Joanna Lannister","Casterly Rock",0,"Lannister",1,1,28,0.230769231,0,"women"
"Jon Cupps","Ser",1,"Cupps",1,1,NA,0.050167224,1,"men"
"Jon Heddle","Ser",1,"Heddle",0,1,NA,0.006688963,1,"men"
"Jon Hollard","Ser",1,"Hollard",0,1,NA,0.026755853,1,"men"
"Jon Penrose","Ser",1,"Penrose",0,1,NA,0.016722408,1,"men"
"Jon Umber (Greatjon)","Last Hearth",1,"Umber",0,1,NA,0.183946488,1,"men"
"Jorquen","Septon",1,"Night's Watch",0,0,NA,0.003344482,1,"men"
"Joseth Mallister","Ser",0,"Mallister",0,1,NA,0.013377926,1,"women"
"Leo Tyrell (Longthorn)","Lord Paramount of the Mander",1,"Tyrell",0,1,NA,0.053511706,1,"men"
"Leo Tyrell (son of Victor)","Ser",1,"Tyrell",1,1,NA,0.130434783,1,"men"
"Lorent Lorch","Ser",0,"Lorch",0,1,NA,0.010033445,1,"women"
"Lorimer","Ser",1,"Lefford",0,1,NA,0.013377926,0,"men"
"Lucamore Strong","Ser",1,"Strong",0,1,NA,0.016722408,1,"men"
"Lucas Nayland","Ser",0,"Nayland",0,1,NA,0.003344482,1,"women"
"Lucifer Hardy","Lord",1,"Hardy",0,1,NA,0.006688963,1,"men"
"Luthor Tyrell (son of Moryn)","Ser",0,"Tyrell",1,1,NA,0.130434783,1,"women"
"Lymond Mallister","Seagard",0,"Mallister",0,1,NA,0.013377926,1,"women"
"Lyonel (knight)","Ser",1,"Lannister",0,1,NA,0.013377926,1,"men"
"Lyonel Bentley","Ser",0,"Queensguard",0,1,NA,0.013377926,0,"women"
"Lyonel Tyrell (lord)","Lord Paramount of the Mander",1,"Tyrell",0,1,NA,0.02006689,0,"men"
"Malliard","Wisdom",1,"Alchemists' Guild",0,1,NA,0.006688963,1,"men"
"Manfred Dondarrion","Ser",1,"Dondarrion",0,1,NA,0.010033445,1,"men"
"Manfred Swann","Ser",0,"Swann",0,1,NA,0.016722408,1,"women"
"Manfryd Yew","Ser",0,"Yew",0,1,NA,0.02006689,1,"women"
"Martyn Mullendore","Uplands",0,"Mullendore",0,1,NA,0.006688963,1,"women"
"Maynard Plumm","Ser",1,"Plumm",0,1,NA,0.023411371,1,"men"
"Michael Mertyns","Ser",1,"Mertyns",0,1,NA,0.006688963,1,"men"
"Morgarth","Ser",1,"Baelish",0,1,NA,0.016722408,1,"men"
"Mortimer Boggs","Ser",1,"Boggs",0,1,NA,0.013377926,1,"men"
"Munciter","Wisdom",1,"Alchemists' Guild",0,1,NA,0.006688963,1,"men"
"Olyvar Oakheart","Ser",1,"Oakheart",0,1,NA,0.023411371,0,"men"
"Orivel","Ser",1,"Kingsguard",0,1,NA,0.003344482,1,"men"
"Ormond Osgrey","Coldmoat",0,"Osgrey",0,1,NA,0.010033445,1,"women"
"Ormond Westerling","Ser",0,"Westerling",0,1,NA,0,1,"women"
"Ormund Wylde","Ser",1,"Wylde",0,1,NA,0.013377926,1,"men"
"Osmynd","Septon",0,"Faith of the Seven",0,0,NA,0.003344482,1,"women"
"Owen Inchfield","Ser",0,"Inchfield",0,1,NA,0.013377926,1,"women"
"Perwyn Osgrey","Coldmoat",0,"Osgrey",0,1,NA,0.006688963,1,"women"
"Peter Plumm","Ser",1,"Plumm",0,1,NA,0.026755853,1,"men"
"Plummer","Ashford",0,"Ashford",0,1,NA,0,1,"women"
"Pollitor","Wisdom",1,"Alchemists' Guild",0,1,NA,0.010033445,1,"men"
"Qalen","Maester",1,"Greyjoy",0,1,NA,0.010033445,1,"men"
"Qarl Correy","Ser",1,"Velaryon",0,1,NA,0.026755853,1,"men"
"Aelinor Penrose","LadyQueen",0,"Penrose",1,1,NA,0.163879599,1,"women"
"Aemon Estermont","Ser",1,"Estermont",0,1,NA,0.030100334,1,"men"
"Aemon Rivers","Ser",1,"Frey",0,1,NA,0.033444816,1,"men"
"Aglantine","Septa",0,"Faith of the Seven",0,0,NA,0.013377926,1,"women"
"Aladale Wynch","Ser",1,"Wynch",0,1,NA,0.02006689,0,"men"
"Albar Royce","Ser",1,"Royce of the Gates of the Moon",0,1,NA,0.033444816,1,"men"
"Alesander Staedmon","Broad Arch",0,"Staedmon",0,1,NA,0.013377926,1,"women"
"Alekyne Florent","Brightwater",1,"Florent",0,1,NA,0.066889632,1,"men"
"Allard Seaworth","Lady Marya",1,"Seaworth",0,1,NA,0.063545151,0,"men"
"Alyn Cockshaw","Lord",1,"Cockshaw",0,1,NA,0.040133779,0,"men"
"Alyce Graceford","Lady",0,"Graceford",0,1,NA,0.023411371,1,"women"
"Alyn Connington","Ser",0,"Connington",0,1,NA,0.060200669,1,"women"
"Alyn Estermont","Ser",1,"Estermont",0,1,NA,0.026755853,1,"men"
"Alyn Stackspear","Ser",0,"Stackspear",0,1,NA,0.026755853,1,"women"
"Alysanne Bulwer","Blackcrown",0,"Bulwer",0,1,14,0.153846154,1,"women"
"Alysanne Lefford","Golden Tooth",0,"Lefford",0,1,NA,0.013377926,1,"women"
"Alyssa Blackwood","Lady",0,"Blackwood",1,1,NA,0.096989967,0,"women"
"Ambrose Butterwell","Whitewalls",1,"Butterwell",1,1,100,0.414715719,0,"men"
"Andar Royce","Ser",1,"Royce",0,1,NA,0.040133779,1,"men"
"Andros Brax","Hornvale",1,"Brax",0,1,NA,0.053511706,0,"men"
"Antario Jast","Lord",1,"Jast",1,1,NA,0.080267559,1,"men"
"Andrew Estermont","Ser",1,"Estermont",0,1,NA,0.036789298,1,"men"
"Annara Farring","Lady",0,"Farring",1,1,NA,0.063545151,1,"women"
"Ardrian Celtigar","Claw Isle",1,"Celtigar",0,1,76,0.043478261,1,"men"
"Anya Waynwood","Ironoaks",0,"Waynwood",0,1,NA,0.086956522,1,"women"
"Armond Caswell","Bitterbridge",1,"Caswell",0,1,NA,0.006688963,1,"men"
"Arthur Ambrose","Lord",1,"Ambrose",1,1,NA,0.060200669,1,"men"
"Arwood Frey","Ser",1,"Frey",1,1,42,0.163879599,1,"men"
"Lord Ashford","Ashford",1,"Ashford",0,1,NA,0.010033445,1,"men"
"Azzak","Cupbearer",0,"of Ghazeen",0,1,NA,0.016722408,1,"women"
"Baelor Hightower","Ser",1,"Hightower",1,1,NA,0.066889632,1,"men"
"Balman Byrch","Ser",1,"Byrch",1,1,NA,0.073578595,0,"men"
"Barth","Septon",1,"Faith of the Seven",0,0,NA,0.35451505,0,"men"
"Bayard Norcross","Ser",0,"Norcross",0,1,NA,0.02006689,1,"women"
"Barthogan Stark","Winterfell",1,"Stark",0,1,NA,0.127090301,1,"men"
"Benedar Belmore","Strongsong",1,"Belmore",0,1,NA,0.026755853,1,"men"
"Benedict Broom","Ser",0,"Broom",0,1,NA,0.02006689,1,"women"
"Bennard Brune","Ser",1,"Brune of Brownhollow",0,1,NA,0.010033445,1,"men"
"Benfrey Frey","Ser",1,"Frey",1,1,28,0.073578595,0,"men"
"Beron Stark","Winterfell",1,"Stark",1,1,NA,0.234113712,1,"men"
"Bhakaz zo Loraq","Cupbearer",1,"of Loraq",0,1,NA,0.003344482,1,"men"
"Bethany Redwyne","Goldengrove",0,"Redwyne",1,1,NA,0.060200669,1,"women"
"Bethany Rosby","Lady",0,"Rosby",1,1,17,0.066889632,0,"women"
"Boremund Harlaw","Harridan Hill",1,"Harlaw of Harridan Hill",0,1,NA,0.063545151,1,"men"
"Branston Cuy","Lord of Sunflower Hall",0,"Cuy",0,1,NA,0.006688963,1,"women"
"Bryan Fossoway","Ser",1,"Fossoway of Cider Hall",0,1,NA,0.026755853,0,"men"
"Bryen Caron","Lord of the Marches",1,"Caron",0,1,NA,0.026755853,0,"men"
"Burton Crakehall","Ser",1,"Crakehall",0,1,NA,0.036789298,0,"men"
"Lord Caswell","Bitterbridge",1,"Caswell",0,1,NA,0.013377926,1,"men"
"Clarent Crakehall","Ser",0,"Crakehall",0,1,NA,0.010033445,0,"women"
"Clement Crabb","Ser",1,"Crabb",0,1,NA,0.013377926,1,"men"
"Clement Piper","Pinkmaiden",1,"Piper",0,1,NA,0.070234114,1,"men"
"Cley Cerwyn","Cerwyn",1,"Cerwyn",0,1,15,0.073578595,0,"men"
"Colin Florent","Ser",0,"Florent",0,1,NA,0.08361204,1,"women"
"Corliss Penny","Ser",0,"Penny",0,1,NA,0.023411371,1,"women"
"Creighton Redfort","Ser",0,"Redfort",0,1,NA,0.023411371,1,"women"
"Cregan Stark","Winterfell",1,"Stark",1,1,NA,0.484949833,0,"men"
"Daeron Vaith","Lord of the Red Dunes",0,"Vaith",0,1,NA,0.010033445,1,"women"
"Dafyn Vance","Ser",0,"Vance",1,1,NA,0.10367893,1,"women"
"Dagon Greyjoy","Lord Reaper of Pyke",1,"Greyjoy",0,1,NA,0.073578595,1,"men"
"Damon Paege","Ser",1,"Paege",0,1,NA,0.02006689,1,"men"
"Damon Shett","Ser",0,"Shett of Gull Tower",0,1,NA,0.010033445,1,"women"
"Damon Vypren","Ser",0,"Vypren",0,1,40,0.157190635,1,"women"
"Danwell Frey","Ser",1,"Frey",1,1,53,0.180602007,1,"men"
"Delonne Allyrion","Godsgrace",0,"Allyrion",0,1,NA,0.026755853,1,"women"
"Denys Darklyn","Duskendale",1,"Darklyn",1,1,NA,0.056856187,1,"men"
"Denys Arryn","Ser",0,"Arryn",0,1,NA,0.08361204,0,"women"
"Dermot","Ser",0,"Baratheon of Dragonstone",0,1,NA,0.023411371,1,"women"
"Desmond Redwyne","Ser",1,"Redwyne",1,1,NA,0.076923077,1,"men"
"Deziel Dalt","Knight",1,"Dalt",0,1,NA,0.026755853,1,"men"
"Donnel Haigh","Ser",1,"Haigh",0,1,50,0.086956522,1,"men"
"Donnel of Duskendale","Ser",1,"Kingsguard",0,1,NA,0.036789298,1,"men"
"Donnel Locke","Ser",0,"Locke",0,1,NA,0.036789298,0,"women"
"Donnel Waynwood","Ser",0,"Waynwood",0,1,28,0.060200669,1,"women"
"Donnor Stark","Winterfell",1,"Stark",0,1,NA,0.080267559,1,"men"
"Duram Bar Emmon","Sharp Point",0,"Bar Emmon",0,1,21,0.026755853,1,"women"
"Edderion Stark","King in the North",1,"Stark",0,1,NA,0.010033445,1,"men"
"Edmyn Tully","Riverrun",1,"Tully",0,1,NA,0.357859532,1,"men"
"Eddara Tallhart","Lady of Torrhen's Square",0,"Tallhart",0,1,16,0.040133779,1,"women"
"Edrick Stark","King in the North",1,"Stark",0,1,NA,0.026755853,1,"men"
"Edwyd Fossoway","Ser",1,"Fossoway of Cider Hall",0,1,NA,0.023411371,0,"men"
"Edwyn Stark","King in the North",0,"Stark",0,1,NA,0.010033445,1,"women"
"Edwyle Stark","Winterfell",1,"Stark",1,1,NA,0.107023411,1,"men"
"Elder Brother","Ser",1,"Faith of the Seven",0,1,50,0.076923077,1,"men"
"Elbert Arryn","Ser",1,"Arryn",0,1,NA,0.046822742,0,"men"
"Ellery Vance","Ser",1,"Vance of Atranta",0,1,NA,0.026755853,1,"men"
"Elwood Meadows","Grassy Vale",1,"Meadows",0,1,27,0.050167224,1,"men"
"Endrew Tarth","Ser",1,"Tarth",0,1,NA,0.066889632,0,"men"
"Eon Hunter","Longbow Hall",1,"Hunter",0,1,NA,0.046822742,0,"men"
"Ermesande Hayford","Hayford",0,"Hayford",1,1,7,0.113712375,1,"women"
"Erren Florent","Ser",1,"Florent",0,1,NA,0.086956522,1,"men"
"Eustace Brune","Dyre Den",1,"Brune of the Dyre Den",0,1,NA,0.016722408,1,"men"
"Eustace Hunter","Ser",0,"Hunter",0,1,NA,0.023411371,1,"women"
"Eyron Stark","King in the North",1,"Stark",0,1,NA,0.010033445,1,"men"
"Forley Prester","Ser",1,"Prester",0,1,NA,0.063545151,1,"men"
"Franklyn Fowler","Skyreach",1,"Fowler",0,1,NA,0.02006689,1,"men"
"Flement Brax","Ser",1,"Brax",1,1,NA,0.140468227,1,"men"
"Franklyn Frey","Ser",1,"Frey",0,1,NA,0.036789298,1,"men"
"Gareth Clifton","Ser",1,"Clifton",1,1,NA,0.013377926,1,"men"
"Garrison Prester","Feastfires",1,"Prester",0,1,NA,0.013377926,1,"men"
"Garse Goodbrook","Ser",1,"Goodbrook",1,1,NA,0.066889632,1,"men"
"Garth Greenfield","Knight",0,"Greenfield",0,1,NA,0.030100334,1,"women"
"Gawen Swann","Stonehelm",1,"Swann",0,1,100,0.016722408,0,"men"
"Gawen Wylde","Ser",1,"Wylde",0,1,NA,0.013377926,0,"men"
"Garth Tyrell","Lord Seneschal",1,"Tyrell",0,1,NA,0.163879599,1,"men"
"Gawen Westerling","Crag",1,"Westerling",1,1,NA,0.08361204,1,"men"
"Gerald Gower","Ser",0,"Gower",0,1,NA,0.023411371,1,"women"
"Gerold Grafton","Gulltown",1,"Grafton",0,1,NA,0.023411371,1,"men"
"Gerardys","Grand Maester",1,"Blacks",0,1,NA,0.023411371,0,"men"
"Gilbert Farring","Ser",1,"Farring",0,1,NA,0.046822742,1,"men"
"Glendon Hewett","Ser",1,"Hewett",0,1,NA,0.026755853,1,"men"
"Gilwood Hunter","Ser",1,"Hunter",0,1,55,0.040133779,1,"men"
"Godric Borrell","Sweetsister",1,"Borrell",0,1,NA,0.086956522,1,"men"
"Goodwin","Ser",1,"Tarth",0,1,NA,0.006688963,1,"men"
"Gormon Peake","Starpike",1,"Peake",0,1,NA,0.060200669,0,"men"
"Gormon Tyrell","Maester",1,"Citadel",0,1,NA,0.153846154,1,"men"
"Grazdan mo Ullhor","Good Master",1,"Good Masters",0,1,NA,0.030100334,0,"men"
"Grazdar zo Galare","Cupbearer",1,"of Galare",0,1,NA,0.010033445,1,"men"
"Guncer Sunglass","Sweetport Sound",1,"Sunglass",0,1,NA,0.040133779,0,"men"
"Gulian Swann","Stonehelm",1,"Swann",0,1,46,0.033444816,1,"men"
"Guthor Grimm","Lord of Greyshield",1,"Grimm",0,1,NA,0.016722408,1,"men"
"Gunthor Hightower","Ser",0,"Hightower",1,1,NA,0.053511706,1,"women"
"Gyldayn","Archmaester",1,"The Citadel",0,1,NA,0.157190635,1,"men"
"Gwayne Hightower","Ser",1,"Hightower",0,1,42,0.050167224,0,"men"
"Hallis Mollen","Winterfell",1,"Mollen",0,1,NA,0.070234114,1,"men"
"Halmon Paege","Ser",1,"Paege",0,1,NA,0.016722408,1,"men"
"Harbert","Ser",1,"Baratheon",0,1,NA,0.023411371,1,"men"
"Harlan Hunter","Ser",1,"Hunter",0,1,NA,0.026755853,1,"men"
"Harlen Tyrell","High Steward of Highgarden",1,"Tyrell",0,1,NA,0.063545151,0,"men"
"Harmond Umber","Last Hearth",0,"Umber",0,1,NA,0.016722408,1,"women"
"Harmune","Maester",1,"Night's Watch",0,1,NA,0.043478261,1,"men"
"Harrold Westerling","Ser",1,"Westerling",0,1,NA,0.27090301,0,"men"
"Harwood Fell","Felwood",1,"Fell",0,1,NA,0.030100334,0,"men"
"Harwin Strong","Ser",1,"Strong",0,1,30,0.086956522,0,"men"
"Harwood Stout","Goldgrass",1,"Stout",0,1,NA,0.053511706,1,"men"
"Harys Haigh","Ser",1,"Haigh",0,1,51,0.090301003,1,"men"
"Helman Tallhart","Ser",1,"Tallhart",0,1,NA,0.130434783,0,"men"
"Lord Commander Hoare","Lord Commander of the Night's Watch",1,"Hoare",0,1,NA,0.060200669,1,"men"
"Hobber Redwyne","Ser",1,"Redwyne",0,1,NA,0.214046823,1,"men"
"Hoarfrost Umber","Last Hearth",1,"Umber",0,1,NA,0.02006689,1,"men"
"Hosman Norcross","Ser",1,"Norcross",1,1,NA,0.076923077,1,"men"
